target_coordinates	gene_name	transcript_id	Strand
chr5:140535362-140535538	ANKHD1	ENST00000360839	+
chr17:16034765-16034944	NCOR1	ENST00000268712	-
chr17:19571478-19571572	SLC47A1	ENST00000270570	+
chr11:46754888-46754983	CKAP5	ENST00000527333	-
chr6:7240438-7240602	RREB1	ENST00000379938	+
chr2:38675912-38676066	GALM	ENST00000272252	+
chr16:84744633-84745673	USP10	ENST00000219473	+
chr9:33294420-33295427	NFX1	ENST00000379540	+
chr16:84740309-84740369	USP10	ENST00000219473	+
chr12:64752698-64752757	GNS	ENST00000258145	-
chr4:73455236-73455290	AFP	ENST00000395792	+
chr6:31539147-31539274	DDX39B	ENST00000396172	-
chr5:181238099-181238239	RACK1	ENST00000512805	-
chr14:88602828-88603060	ZC3H14	ENST00000251038	+
chrX:40679864-40680133	MED14	ENST00000324817	-
chr12:62566014-62566031	MON2	ENST00000393630	+
chr2:152677451-152677475	PRPF40A	ENST00000545856	-
chr2:135641536-135641790	R3HDM1	ENST00000683871	+
chr9:105385422-105385703	SLC44A1	ENST00000699290	+
chr4:82371528-82371584	HNRNPD	ENST00000313899	-
chr2:42304484-42304551	EML4	ENST00000318522	+
chr5:146468341-146468403	TCERG1	ENST00000679501	+
chr5:139314675-139314736	MATR3	ENST00000394805	+
chr7:74190247-74190306	EIF4H	ENST00000265753	+
chr9:96465710-96465778	HABP4	ENST00000375249	+
chr9:32988083-32988124	APTX	ENST00000673248	-
chr2:61502249-61502310	XPO1	ENST00000401558	-
chr1:31318167-31318236	ZCCHC17	ENST00000616859	+
chr15:63255507-63255584	RAB8B	ENST00000321437	+
chr1:100267500-100267538	RTCA	ENST00000260563	+
chr3:133764875-133764907	TF	ENST00000402696	+
chr11:3373577-3373675	ZNF195	ENST00000343338	-
chr1:144450772-144450870	NBPF15	ENST00000581897	-
chr11:3373577-3373656	ZNF195	ENST00000618467	-
chr1:11117004-11117086	MTOR	ENST00000361445	-
chr17:44187907-44188009	TMUB2	ENST00000446571	+
chr2:241248003-241248116	HDLBP	ENST00000310931	-
chr19:18122107-18122127	MAST3	ENST00000697700	+
chr1:153976976-153977013	JTB	ENST00000271843	-
chr20:34065044-34065160	RALY	ENST00000448364	+
chrX:21967196-21967316	SMS	ENST00000404933	+
chr7:5329937-5329969	TNRC18	ENST00000455076	-
chr5:6602461-6602500	NSUN2	ENST00000264670	-
chrX:30727466-30727552	GK	ENST00000427190	+
chr8:109339320-109339390	ENY2	ENST00000521688	+
chr1:92833545-92833660	RPL5	ENST00000370321	+
chr2:61190271-61190414	USP34	ENST00000398571	-
chr13:112878217-112878303	ATP11A	ENST00000375645	+
chr1:10627272-10627363	PEX14	ENST00000356607	+
chr2:166304238-166304329	SCN9A	ENST00000642356	-
chr4:73416256-73416353	ALB	ENST00000295897	+
chr1:155136828-155136951	SLC50A1	ENST00000368404	+
chr7:129209289-129209397	SMO	ENST00000249373	+
chr1:143964855-143964979	FAM72C	ENST00000584486	-
chr1:206195752-206195876	FAM72A	ENST00000367128	-
chr4:16170653-16170729	TAPT1	ENST00000405303	-
chr4:70778369-70778438	RUFY3	ENST00000381006	+
chr4:78887174-78887284	BMP2K	ENST00000502613	+
chr7:92327783-92327900	ANKIB1	ENST00000265742	+
chr19:11405323-11405426	RGL3	ENST00000380456	-
chr20:41354645-41354737	LPIN3	ENST00000373257	+
chr4:127939853-127939997	MFSD8	ENST00000641686	-
chr5:66177514-66177658	SREK1	ENST00000334121	+
chr4:127938783-127938838	MFSD8	ENST00000641686	-
chr5:62366414-62366481	KIF2A	ENST00000407818	+
chr14:21087320-21087463	ARHGEF40	ENST00000298694	+
chr20:25013536-25013662	ACSS1	ENST00000323482	-
chr9:96343904-96343996	SLC35D2	ENST00000253270	-
chr8:42362612-42362698	POLB	ENST00000265421	+
chr2:39707049-39707186	TMEM178A	ENST00000281961	+
chr8:28099828-28099966	ELP3	ENST00000256398	+
chr2:215380811-215381080	FN1	ENST00000354785	-
chr4:102633251-102633473	MANBA	ENST00000644159	-
chr7:76400286-76400591	SSC4D	ENST00000275560	-
chr12:56231204-56231561	SLC39A5	ENST00000454355	+
chr2:219547506-219548081	TMEM198	ENST00000373883	+
chr17:78803385-78803978	USP36	ENST00000449938	-
chr6:144827348-144827386	UTRN	ENST00000367545	+
chr12:55800854-55800900	SARNP	ENST00000336133	-
chr5:180567849-180568003	CNOT6	ENST00000261951	+
chr12:96014855-96014999	LTA4H	ENST00000228740	-
chr17:51259143-51259206	MBTD1	ENST00000586178	-
chr10:70816811-70816880	SGPL1	ENST00000373202	+
chr15:71951777-71951896	MYO9A	ENST00000356056	-
chr5:140464667-140464776	ANKHD1	ENST00000360839	+
chr7:4175775-4175834	SDK1	ENST00000404826	+
chr10:73824040-73824084	CAMK2G	ENST00000423381	-
chr3:17623849-17623913	TBC1D5	ENST00000696125	-
chr14:66776464-66776521	GPHN	ENST00000478722	+
chr3:57925845-57925934	SLMAP	ENST00000671191	+
chr2:232809720-232809811	GIGYF2	ENST00000373563	+
chr2:101871494-101871685	MAP4K4	ENST00000324219	+
chr3:12570071-12570252	MKRN2	ENST00000170447	+
chr14:50756492-50758630	NIN	ENST00000530997	-
chr1:169540294-169543114	F5	ENST00000367797	-
chr4:183655881-183655961	RWDD4	ENST00000326397	-
chr9:100445169-100445237	MSANTD3	ENST00000374885	+
chr9:131474454-131476535	PRRC2B	ENST00000683519	+
chr22:19961697-19962815	COMT	ENST00000678255	+
chr5:179619269-179619407	HNRNPH1	ENST00000393432	-
chr17:63806535-63806654	DDX42	ENST00000389924	+
chr5:179618145-179618323	HNRNPH1	ENST00000393432	-
chr10:99818790-99818957	ABCC2	ENST00000647814	+
chr10:99811536-99811602	ABCC2	ENST00000647814	+
chr6:90544552-90544632	MAP3K7	ENST00000369329	-
chr12:15681226-15681302	EPS8	ENST00000281172	-
chr3:100311833-100311877	TBC1D23	ENST00000394144	+
chr10:34336199-34336243	PARD3	ENST00000374788	-
chr12:27677064-27677096	PPFIBP1	ENST00000228425	+
chr8:38429682-38429948	FGFR1	ENST00000447712	-
chr7:158138294-158138515	PTPRN2	ENST00000389418	-
chr11:72012401-72012442	NUMA1	ENST00000393695	-
chr11:8713998-8714042	DENND2B	ENST00000313726	-
chr10:95247215-95247366	PDLIM1	ENST00000329399	-
chr4:82842140-82842481	SEC31A	ENST00000395310	-
chr13:97346804-97347067	MBNL2	ENST00000679496	+
chr6:143760401-143760640	PHACTR2	ENST00000440869	+
chr11:73909399-73909593	PAAF1	ENST00000310571	+
chr19:16081020-16081075	TPM4	ENST00000642221	+
chr3:152299405-152300367	MBNL1	ENST00000324210	+
chr7:66240325-66241270	TPST1	ENST00000304842	+
chr1:151562091-151562165	TUFT1	ENST00000368849	+
chr9:112041867-112041960	SUSD1	ENST00000374270	-
chr3:184180645-184180650	AP2M1	ENST00000292807	+
chr3:52804726-52804734	ITIH3	ENST00000449956	+
chr2:203411285-203411371	ABI2	ENST00000261018	+
chr5:76570580-76570657	IQGAP2	ENST00000274364	+
chr16:56462534-56462634	OGFOD1	ENST00000566157	+
chr1:44776675-44776714	RPS8	ENST00000372209	+
chr2:121427404-121427430	CLASP1	ENST00000696935	-
chr10:68740629-68740661	CCAR1	ENST00000265872	+
chrX:23734341-23734367	ACOT9	ENST00000379303	-
chr13:21401653-21401685	ZDHHC20	ENST00000400590	-
chr10:26755655-26755741	ABI1	ENST00000376140	-
chr1:171571320-171571421	PRRC2C	ENST00000647382	+
chr3:47867246-47867338	MAP4	ENST00000683076	-
chr20:44924161-44924256	PABPC1L	ENST00000217073	+
chr7:107932174-107932377	LAMB1	ENST00000222399	-
chr1:1848461-1848529	GNB1	ENST00000703693	-
chr17:32930900-32930971	TMEM98	ENST00000439138	+
chr7:102395977-102396537	PRKRIP1	ENST00000496391	+
chr19:19009855-19010342	SUGP2	ENST00000452918	-
chr1:112705100-112705123	RHOC	ENST00000369637	-
chr1:43602071-43602097	PTPRF	ENST00000359947	+
chr5:74637494-74640125	ENC1	ENST00000651128	-
chr1:93876268-93877862	DNTTIP2	ENST00000436063	-
chr3:98521653-98521718	CLDND1	ENST00000510545	-
chr5:138574068-138574126	HSPA9	ENST00000297185	-
chr3:98521653-98521703	CLDND1	ENST00000394180	-
chr5:138574068-138574121	HSPA9	ENST00000678300	-
chr7:76060373-76060498	MDH2	ENST00000315758	+
chr16:30065876-30065927	ALDOA	ENST00000569545	+
chr20:62832154-62832189	COL9A3	ENST00000649368	+
chr2:121445449-121445496	CLASP1	ENST00000541377	-
chr3:122387464-122387515	FAM162A	ENST00000692876	+
chr2:62987931-62988038	EHBP1	ENST00000263991	+
chr8:78711990-78712106	ZC2HC1A	ENST00000519307	+
chr2:44359497-44360038	PREPL	ENST00000409936	-
chr10:86517571-86518091	WAPL	ENST00000298767	-
chr2:44359497-44359750	PREPL	ENST00000410081	-
chr2:112502912-112503181	TTL	ENST00000233336	+
chr12:53502020-53502184	TARBP2	ENST00000456234	+
chr3:50302057-50302205	HYAL1	ENST00000447605	-
chr5:66068877-66069020	ERBIN	ENST00000506030	+
chr2:170055460-170055584	UBR3	ENST00000272793	+
chr4:13369871-13369965	RAB28	ENST00000288723	-
chr10:27531529-27531615	RAB18	ENST00000621805	+
chr4:82842185-82842481	SEC31A	ENST00000508502	-
chr1:30964674-30964910	PUM1	ENST00000426105	-
chr4:127938783-127938836	MFSD8	ENST00000513559	-
chr9:152034-152078	ZNG1A	ENST00000356521	-
chr2:178445426-178445535	PRKRA	ENST00000678775	-
chr2:169606039-169606146	PPIG	ENST00000260970	+
chr17:82394331-82394543	OGFOD3	ENST00000329197	-
chr2:20640973-20641180	HS1BP3	ENST00000304031	-
chr6:3264209-3264325	PSMG4	ENST00000419065	+
chr17:29089961-29090098	MYO18A	ENST00000527372	-
chr1:225504991-225505053	ENAH	ENST00000366844	-
chr1:62583184-62583254	DOCK7	ENST00000635253	-
chr20:5972576-5972726	MCM8	ENST00000378886	+
chr1:77949155-77949300	FUBP1	ENST00000370768	-
chr20:50875997-50876093	BCAS4	ENST00000358791	+
chr20:50130856-50130947	PEDS1	ENST00000371652	-
chr3:98521653-98521696	CLDND1	ENST00000394181	-
chr13:114238990-114239028	CDC16	ENST00000356221	+
chr14:23071125-23071186	ACIN1	ENST00000357481	-
chr12:56346146-56346203	STAT2	ENST00000314128	-
chr16:84988763-84988873	ZDHHC7	ENST00000564466	-
chr7:140681042-140681137	ADCK2	ENST00000072869	+
chr7:23117834-23117964	KLHL7	ENST00000410047	+
chrX:20240569-20240605	RPS6KA3	ENST00000645270	-
chr2:172066264-172066306	METAP1D	ENST00000315796	+
chrX:20240569-20240669	RPS6KA3	ENST00000642835	-
chr7:107906267-107906368	DLD	ENST00000205402	+
chr5:74637494-74637618	ENC1	ENST00000508331	-
chr1:202774613-202774735	KDM5B	ENST00000367265	-
chr9:81612292-81612393	TLE1	ENST00000464999	-
chr13:24442590-24442685	PARP4	ENST00000381989	-
chr3:120644598-120644619	HGD	ENST00000475447	-
chr6:28907236-28907262	TRIM27	ENST00000377199	-
chr4:158833801-158833890	FNIP2	ENST00000504715	+
chr9:108918811-108918901	ELP1	ENST00000374647	-
chr6:83175962-83176060	PGM3	ENST00000513973	-
chr1:150549822-150549895	ADAMTSL4	ENST00000271643	+
chr19:2112860-2112931	AP3D1	ENST00000700387	-
chr4:1939654-1939778	NSD2	ENST00000508803	+
chr14:64390337-64390467	MTHFD1	ENST00000697173	+
chr4:106194718-106194754	TBCK	ENST00000394708	-
chr10:24622733-24622762	ARHGAP21	ENST00000396432	-
chr4:103028747-103028883	SLC9B2	ENST00000394785	-
chrX:41150921-41151057	USP9X	ENST00000378308	+
chr14:96560649-96560711	PAPOLA	ENST00000216277	+
chr7:87849881-87849948	SLC25A40	ENST00000341119	-
chr14:96562819-96562893	PAPOLA	ENST00000216277	+
chr10:69008841-69008925	KIFBP	ENST00000361983	+
chr4:76995781-76995938	SEPTIN11	ENST00000510515	+
chr1:74707103-74707204	CRYZ	ENST00000340866	-
chr2:11198681-11198774	ROCK2	ENST00000315872	-
chr1:54017376-54017427	LDLRAD1	ENST00000371360	-
chr22:20726488-20726541	PI4KA	ENST00000255882	-
chr1:32631827-32631879	ZBTB8OS	ENST00000468695	-
chr20:6094939-6094988	FERMT1	ENST00000217289	-
chr1:43992523-43992639	CCDC24	ENST00000372318	+
chr12:53119124-53119253	SOAT2	ENST00000301466	+
chr13:95860788-95860883	UGGT2	ENST00000376747	-
chr12:82354495-82354594	CCDC59	ENST00000256151	-
chr14:55061680-55061701	MAPK1IP1L	ENST00000395468	+
chr10:7796121-7796155	ATP5F1C	ENST00000356708	+
chr12:55997615-55997723	SUOX	ENST00000266971	+
chr5:908355-908461	TRIP13	ENST00000166345	+
chr1:18886464-18886511	ALDH4A1	ENST00000375341	-
chr22:41338313-41338355	ZC3H7B	ENST00000352645	+
chr7:90355086-90355230	GTPBP10	ENST00000222511	+
chrX:115610803-115610921	PLS3	ENST00000289290	+
chr7:90372155-90372228	GTPBP10	ENST00000222511	+
chr2:134336217-134336288	MGAT5	ENST00000281923	+
chr13:32344558-32344653	BRCA2	ENST00000380152	+
chr7:87843754-87843863	SLC25A40	ENST00000341119	-
chr1:212375193-212375300	PACC1	ENST00000261455	-
chr8:73969560-73969673	ELOC	ENST00000522337	-
chr5:115895087-115895158	AP3S1	ENST00000316788	+
chr2:171028339-171028405	TLK1	ENST00000431350	-
chr17:59119319-59119495	SKA2	ENST00000330137	-
chr6:149638386-149638560	KATNA1	ENST00000367411	-
chr17:59131281-59131367	SKA2	ENST00000330137	-
chr3:45446891-45446980	LARS2	ENST00000645846	+
chr2:237089862-237089994	COPS8	ENST00000354371	+
chr6:127316450-127316502	ECHDC1	ENST00000454859	-
chr2:113453139-113453198	ZNG1B	ENST00000259199	+
chr12:111943265-111943369	TMEM116	ENST00000552374	-
chrX:72495156-72495268	HDAC8	ENST00000373573	-
chr8:61643945-61644001	ASPH	ENST00000379454	-
chr4:73420254-73420321	ALB	ENST00000295897	+
chr14:104715284-104715340	INF2	ENST00000392634	+
chr1:19344358-19344434	CAPZB	ENST00000264202	-
chr10:28595733-28596041	WAC	ENST00000354911	+
chr2:63933673-63934013	VPS54	ENST00000272322	-
chr6:90518447-90518562	MAP3K7	ENST00000369329	-
chr11:28090617-28090727	KIF18A	ENST00000263181	-
chr2:112020604-112020654	MERTK	ENST00000449344	+
chr5:37157313-37157420	CPLANE1	ENST00000651892	-
chr16:11761406-11761511	ZC3H7A	ENST00000355758	-
chr6:75640684-75640704	SENP6	ENST00000447266	+
chr6:13652659-13652681	RANBP9	ENST00000011619	-
chr8:17554560-17554699	SLC7A2	ENST00000494857	+
chr7:30612096-30612245	GARS1	ENST00000389266	+
chr2:39307943-39308005	MAP4K3	ENST00000263881	-
chr2:135932783-135932842	DARS1	ENST00000264161	-
chr1:17634548-17634562	ARHGEF10L	ENST00000361221	+
chr10:97752857-97752877	ZFYVE27	ENST00000684270	+
chr19:10808569-10808580	DNM2	ENST00000389253	+
chr10:122245065-122245073	TACC2	ENST00000635597	+
chr10:31839637-31839711	ARHGAP12	ENST00000344936	-
chr2:58163434-58163517	FANCL	ENST00000233741	-
chr6:167913403-167913423	AFDN	ENST00000683244	+
chr18:74256830-74256853	CYB5A	ENST00000494131	-
chr4:122226707-122226835	BLTP1	ENST00000679879	+
chr4:140540168-140540301	ELMOD2	ENST00000323570	+
chr12:55999333-55999458	SUOX	ENST00000394115	+
chr22:41894820-41894937	SREBF2	ENST00000361204	+
chr7:22946952-22947247	HYCC1	ENST00000409923	-
chr9:70297966-70298221	SMC5	ENST00000361138	+
chr2:232734417-232734486	GIGYF2	ENST00000409547	+
